"","Species","NonGaps","removedPerGaps","removedMasking"
"Felis_catus","Felis_catus",24,FALSE,FALSE
"Felis_silvestris","Felis_silvestris",45,FALSE,FALSE
"Pagophilus_groenlandicus","Pagophilus_groenlandicus",261,FALSE,FALSE
"Felis_nigripes","Felis_nigripes",261,FALSE,FALSE
"Felis_margarita","Felis_margarita",261,FALSE,FALSE
"Felis_chaus","Felis_chaus",261,FALSE,FALSE
"Vulpes_vulpes","Vulpes_vulpes",310,FALSE,FALSE
"Vulpes_lagopus","Vulpes_lagopus",310,FALSE,FALSE
"Vulpes_ferrilata","Vulpes_ferrilata",239,FALSE,FALSE
"Manis_pentadactyla","Manis_pentadactyla",24,FALSE,FALSE
