"","Species","NonGaps","removedPerGaps","removedMasking"
"Felis_catus","Felis_catus",46,FALSE,FALSE
"Felis_silvestris","Felis_silvestris",69,FALSE,FALSE
"Felis_chaus","Felis_chaus",0,TRUE,FALSE
"Felis_margarita","Felis_margarita",65,FALSE,FALSE
"Felis_bieti","Felis_bieti",46,FALSE,FALSE
"Vulpes_corsac","Vulpes_corsac",71,FALSE,FALSE
"Vulpes_vulpes","Vulpes_vulpes",71,FALSE,FALSE
"Vulpes_zerda","Vulpes_zerda",0,TRUE,FALSE
"Vulpes_cana","Vulpes_cana",71,FALSE,FALSE
"Vulpes_rueppellii","Vulpes_rueppellii",71,FALSE,FALSE
"Vulpes_lagopus","Vulpes_lagopus",46,FALSE,FALSE
"Vulpes_ferrilata","Vulpes_ferrilata",0,TRUE,FALSE
"Vulpes_macrotis","Vulpes_macrotis",46,FALSE,FALSE
"Vulpes_pallida","Vulpes_pallida",0,TRUE,FALSE
"Phoca_largha","Phoca_largha",71,FALSE,FALSE
"Histriophoca_fasciata","Histriophoca_fasciata",71,FALSE,FALSE
"Phoca_vitulina","Phoca_vitulina",27,FALSE,FALSE
"Manis_pentadactyla","Manis_pentadactyla",28,FALSE,FALSE
